ID category model name_manufactorer address_manufactorer price amount_in_shop amount_in_stock
1 phones model_phone_1 Название_производителя_1 адрес_производителя_1 1000 10 20
2 phones model_phone_2 Название_производителя_2 адрес_производителя_2 5000 2 15
3 TV model_tv_1 Название_производителя_3 адрес_производителя_3 10000 5 10
4 TV model_tv_2 Название_производителя_3 адрес_производителя_4 20000 1 5
5 TV model_tv_3 Название_производителя_2 адрес_производителя_5 30000 0 0
6 phones model_phone_3 Название_производителя_1 адрес_производителя_6 2000 5 10
7 phones model_phone_4 Название_производителя_2 адрес_производителя_7 3000 5 1
8 phones model_phone_5 Название_производителя_3 адрес_производителя_8 4000 0 0
9 boombox model_boombox_1 Название_производителя_1 адрес_производителя_9 5000 5 10
10 boombox model_boombox_2 Название_производителя_2 адрес_производителя_10 6000 5 1
11 boombox model_boombox_3 Название_производителя_3 адрес_производителя_11 7000 0 5
12 phones model_phone_6 Название_производителя_1 адрес_производителя_12 8000 5 10
